author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Дом девелопмент;developer;https://tyumen.cian.ru/sale/flat/299582024/;Cанкт-Петербург;sale;flat;15;17;2;51.0;6830000;мкр. Воровского; Республики;204к19;;Баланс
ID 108172779;real_estate_agent;https://www.cian.ru/sale/flat/301496936/;Cанкт-Петербург;sale;flat;7;8;1;53.2;58786000;Таганский;Славянская площадь;2/5с1;Китай-город;LUMIN
Дом девелопмент;developer;https://tyumen.cian.ru/sale/flat/299582075/;Cанкт-Петербург;sale;flat;11;17;1;21.5;4440000;мкр. Воровского; Республики;204к19;;Баланс
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/302081797/;Cанкт-Петербург;sale;flat;2;10;2;69.4;85000000;Тверской; Палиха;4;Менделеевская;Клубный дом Maison Rouge
Брусника;representative_developer;https://tyumen.cian.ru/sale/flat/304906862/;Cанкт-Петербург;sale;flat;7;8;2;59.11;7310000;;;;;Октябрьский на Туре
Life Style;real_estate_agent;https://www.cian.ru/sale/flat/294212104/;Cанкт-Петербург;sale;flat;34;78;2;76.1;62000000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
РКС Девелопмент;developer;https://krasnodar.cian.ru/sale/flat/301562871/;Cанкт-Петербург;sale;flat;6;8;2;46.0;11173400;;;;;Anapolis Residence
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/298050415/;Cанкт-Петербург;sale;flat;11;13;2;83.0;98900000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
РКС Девелопмент;developer;https://krasnodar.cian.ru/sale/flat/302912009/;Cанкт-Петербург;sale;flat;2;8;1;41.7;9845370;;;;;Anapolis Residence
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/302543412/;Cанкт-Петербург;sale;flat;8;9;2;71.3;59900000;Тверской;1-я Тверская-Ямская ;7;Маяковская;
Интеллект;developer;https://krym.cian.ru/sale/flat/295983977/;Cанкт-Петербург;sale;flat;9;13;2;36.68;11291110;;;;;Парковая Резиденция
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/298050405/;Cанкт-Петербург;sale;flat;7;9;2;108.3;169000000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
Таврида Девелопмент;developer;https://krym.cian.ru/sale/flat/291905826/;Cанкт-Петербург;sale;flat;2;20;2;46.3;18983000;;;;;Новая Ливадия
ID 118500316;homeowner;https://www.cian.ru/sale/flat/304242702/;Cанкт-Петербург;sale;flat;19;41;2;55.0;28500000;Раменки;1-й Сетуньский проезд;вл6;Кутузовская;Hide
Дом девелопмент;developer;https://tyumen.cian.ru/sale/flat/296703622/;Cанкт-Петербург;sale;flat;3;4;2;54.58;7980000;Калининский;Ямская ;159с1/24;;Эклипт
ID 413522;realtor;https://www.cian.ru/sale/flat/304414073/;Cанкт-Петербург;sale;flat;13;15;2;117.4;139800000;Хамовники; Усачева;15;Спортивная;Садовые кварталы
Дом девелопмент;developer;https://tyumen.cian.ru/sale/flat/304489650/;Cанкт-Петербург;sale;flat;21;23;2;46.8;9630000;мкр. Харьковская (Центральный);Новгородская ;9Б;;О два
Самолёт плюс Новокузнецкая;real_estate_agent;https://www.cian.ru/sale/flat/303634229/;Cанкт-Петербург;sale;flat;6;19;1;41.1;20299000;Замоскворечье;Летниковская ;4С2;Павелецкая;
СЗ Феникс;developer;https://rostov.cian.ru/sale/flat/293615625/;Cанкт-Петербург;sale;flat;8;19;2;41.8;7132334;Советский;проспект Стачки;198В;;Times
ID 112591621;homeowner;https://www.cian.ru/sale/flat/301839935/;Cанкт-Петербург;sale;flat;13;45;2;51.0;31500000;Дорогомилово;Кутузовский проезд;16А/1;Деловой центр;River Park Кутузовский
Интеллект;developer;https://krym.cian.ru/sale/flat/295983885/;Cанкт-Петербург;sale;flat;2;13;1;38.3;11711713;;;;;Парковая Резиденция
Marry Lane Group;real_estate_agent;https://www.cian.ru/sale/flat/303980600/;Cанкт-Петербург;sale;flat;4;10;2;44.3;34000000;Беговой; 1-я Ямского Поля;1к1;Белорусская;Slava
Таврида Девелопмент;developer;https://krym.cian.ru/sale/flat/304428700/;Cанкт-Петербург;sale;flat;2;20;1;25.04;10141200;;;;;Новая Ливадия
САДОВЫЕ КВАРТАЛЫ;real_estate_agent;https://www.cian.ru/sale/flat/304330116/;Cанкт-Петербург;sale;flat;7;14;2;95.0;190000000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
Дом девелопмент;developer;https://tyumen.cian.ru/sale/flat/299268343/;Cанкт-Петербург;sale;flat;2;4;1;31.4;5240000;Калининский;Ямская ;159с1/25;;Эклипт
ID 85604823;unknown;https://www.cian.ru/sale/flat/304490404/;Cанкт-Петербург;sale;flat;38;51;2;64.0;38000000;Пресненский;Шмитовский проезд;39к1;Шелепиха;Headliner
Интеллект;developer;https://krym.cian.ru/sale/flat/274306219/;Cанкт-Петербург;sale;flat;3;20;2;48.39;11732426;;;;;Крымская Резиденция
Новые Ватутинки;real_estate_agent;https://www.cian.ru/sale/flat/303801019/;Cанкт-Петербург;sale;flat;13;14;1;40.3;8400000;; Гренадерская;9к3;Ольховая;Новые Ватутинки, мкр. Десна
СЗ Феникс;developer;https://rostov.cian.ru/sale/flat/293615857/;Cанкт-Петербург;sale;flat;14;19;1;40.2;7298310;Советский;проспект Стачки;198В;;Times
Новые Ватутинки;real_estate_agent;https://www.cian.ru/sale/flat/304323178/;Cанкт-Петербург;sale;flat;9;14;2;55.2;11800000;; Гренадерская;9к1;Ольховая;Новые Ватутинки, мкр. Десна
Дипломат;developer;https://krym.cian.ru/sale/flat/292125018/;Cанкт-Петербург;sale;flat;2;8;2;66.0;22622160;;;;;Резиденция Дипломат
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/304519685/;Cанкт-Петербург;sale;flat;39;41;2;56.9;40000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Дом девелопмент;developer;https://tyumen.cian.ru/sale/flat/298880707/;Cанкт-Петербург;sale;flat;13;14;2;38.2;6440000;Калининский;Кремлевская ;95;;Дружеский
Новые Ватутинки;real_estate_agent;https://www.cian.ru/sale/flat/303776065/;Cанкт-Петербург;sale;flat;4;16;2;59.8;13300000;; Гренадерская;9к3;Ольховая;Новые Ватутинки, мкр. Десна
Дом девелопмент;developer;https://tyumen.cian.ru/sale/flat/303339483/;Cанкт-Петербург;sale;flat;3;16;2;52.9;8920000;мкр. Харьковская (Центральный);Новгородская ;22;;Да.Квартал Централь
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/302544975/;Cанкт-Петербург;sale;flat;19;41;1;47.6;42000000;Хорошевский;Ленинградский проспект;37/5;Аэропорт;Прайм Парк
Альянс;developer;https://rostov.cian.ru/sale/flat/293649137/;Cанкт-Петербург;sale;flat;2;7;2;77.88;27258000;Кировский;Социалистическая ;118;;Дом-резиденция Собрание
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303753500/;Cанкт-Петербург;sale;flat;3;5;2;69.3;52000000;Хорошевский;Ленинградский проспект;37/5;Аэропорт;Прайм Парк
География;developer;https://tyumen.cian.ru/sale/flat/304274401/;Cанкт-Петербург;sale;flat;2;23;2;62.68;8280000;;;;;Дивный квартал у озера
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/295800676/;Cанкт-Петербург;sale;flat;4;17;2;44.5;39500000;Пресненский;Звенигородское шоссе;11;Улица 1905 года;Дизайнерский дом Eleven
Дом девелопмент;developer;https://tyumen.cian.ru/sale/flat/304812411/;Cанкт-Петербург;sale;flat;3;16;2;52.7;7800000;мкр. Воровского; Республики;204к12;;Дом на Большой Спасской
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/301655618/;Cанкт-Петербург;sale;flat;1;11;2;74.13;100000000;Дорогомилово;;3к2;Парк Победы;Виктори Парк Резиденсез ЖК
География;developer;https://tyumen.cian.ru/sale/flat/304269740/;Cанкт-Петербург;sale;flat;2;19;2;57.35;7920000;;;;;Окинава
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301565559/;Cанкт-Петербург;sale;flat;5;21;2;117.0;115000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Брусника;representative_developer;https://tyumen.cian.ru/sale/flat/304906812/;Cанкт-Петербург;sale;flat;7;17;2;69.69;9090000;;;;;Республики 205
SIRIUS REALTY;real_estate_agent;https://sochi.cian.ru/sale/flat/304742407/;Cанкт-Петербург;sale;flat;8;12;1;52.7;10500000;Центральный; Несебрская;14;;
Интеллект;developer;https://krym.cian.ru/sale/flat/291497619/;Cанкт-Петербург;sale;flat;2;20;1;27.32;7063344;;;;;Крымская Резиденция
Игорь Бракман;realtor;https://www.cian.ru/sale/flat/245025415/;Cанкт-Петербург;sale;flat;5;9;2;62.4;23800000;Сокол;Ленинградский проспект;77К2;Сокол;
Дипломат;developer;https://krym.cian.ru/sale/flat/292125100/;Cанкт-Петербург;sale;flat;4;8;1;66.5;23349480;;;;;Резиденция Дипломат
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/272003903/;Cанкт-Петербург;sale;flat;5;6;2;43.0;27500000;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
Дом девелопмент;developer;https://tyumen.cian.ru/sale/flat/292444445/;Cанкт-Петербург;sale;flat;2;8;1;30.7;5300000;Калининский;Кремлевская ;97;;Дружеский
SIRIUS REALTY;real_estate_agent;https://sochi.cian.ru/sale/flat/304742984/;Cанкт-Петербург;sale;flat;4;5;1;38.0;9000000;Центральный;переулок Морской;1/1Б;;
Дом девелопмент;developer;https://tyumen.cian.ru/sale/flat/303339478/;Cанкт-Петербург;sale;flat;4;16;1;32.3;6020000;мкр. Харьковская (Центральный);Новгородская ;22;;Да.Квартал Централь
Villagio Realty;real_estate_agent;https://www.cian.ru/sale/flat/303902201/;Cанкт-Петербург;sale;flat;17;24;2;45.0;37000000;Хорошевский;Хорошевское шоссе;25Ак2;Полежаевская;Династия
Альянс;developer;https://rostov.cian.ru/sale/flat/294519207/;Cанкт-Петербург;sale;flat;2;7;1;48.74;16084200;Кировский;Социалистическая ;118;;Дом-резиденция Собрание
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/304681968/;Cанкт-Петербург;sale;flat;5;40;2;40.0;37200000;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
География;developer;https://tyumen.cian.ru/sale/flat/304275484/;Cанкт-Петербург;sale;flat;2;9;1;37.95;6350000;;;;;Дивный квартал у озера
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/296216266/;Cанкт-Петербург;sale;flat;13;40;2;47.3;41150000;Хорошевский;Ленинградский проспект;37/3;;Прайм Парк
Дом девелопмент;developer;https://tyumen.cian.ru/sale/flat/287868935/;Cанкт-Петербург;sale;flat;8;16;1;30.7;6290000;мкр. Воровского; Республики;204к12;;Дом на Большой Спасской
Солнечный Берег;real_estate_agent;https://sochi.cian.ru/sale/flat/304424765/;Cанкт-Петербург;sale;flat;16;18;2;66.0;22000000;Хостинский; Яна Фабрициуса;2/23Мк1;;Меркато
География;developer;https://tyumen.cian.ru/sale/flat/304270980/;Cанкт-Петербург;sale;flat;4;19;1;38.77;6410000;;;;;Окинава
