author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ПИК;developer;https://kazan.cian.ru/sale/flat/300741951/;Казань;sale;flat;2;17;2;51.5;8439789;Советский; Анаса Тазетдинова;;Горки;Нокса парк
МЕГАЛИТ;real_estate_agent;https://kazan.cian.ru/sale/flat/300886870/;Казань;sale;flat;2;9;2;49.3;7400000;Приволжский;проспект Победы;33;Проспект Победы;
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/301035458/;Казань;sale;flat;2;19;2;48.61;10110880;Советский;;;Горки;Светлая Долина ЖК
МЕГАЛИТ;real_estate_agent;https://kazan.cian.ru/sale/flat/303408068/;Казань;sale;flat;7;9;2;54.0;7650000;Советский;Ломжинская ;6;Горки;
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/301019681/;Казань;sale;flat;5;22;2;48.02;10516380;Советский;ПК1-1;ПК1-1;Горки;Мой Ритм ЖК
МЕГАЛИТ;real_estate_agent;https://kazan.cian.ru/sale/flat/300795716/;Казань;sale;flat;1;5;2;99.1;18000000;Вахитовский; Калинина;10;Суконная слобода;
ПИК;developer;https://kazan.cian.ru/sale/flat/300741895/;Казань;sale;flat;16;17;1;32.8;6916789;Советский; Анаса Тазетдинова;;Горки;Нокса парк
МЕГАЛИТ;real_estate_agent;https://kazan.cian.ru/sale/flat/297723058/;Казань;sale;flat;3;5;2;35.6;5499000;Ново-Савиновский; Гагарина;81;Северный Вокзал;
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/303122636/;Казань;sale;flat;2;9;2;83.43;30451950;Советский;;;Суконная слобода;Мифы
МЕГАЛИТ;real_estate_agent;https://kazan.cian.ru/sale/flat/297484099/;Казань;sale;flat;9;10;1;36.2;5750000;Авиастроительный; Чапаева;19/10;Авиастроительная;
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/300752249/;Казань;sale;flat;2;25;1;35.85;8496450;Советский;;;Горки;Светлая Долина ЖК
Альтера;real_estate_agent;https://kazan.cian.ru/sale/flat/292755065/;Казань;sale;flat;9;10;2;56.1;4849000;Кировский;Привокзальная ;52;Кремлёвская;
ПИК;developer;https://kazan.cian.ru/sale/flat/304313166/;Казань;sale;flat;24;26;2;49.0;9332142;Советский;;1;Площадь Тукая;Сиберово ЖК
ART House;real_estate_agent;https://kazan.cian.ru/sale/flat/303335843/;Казань;sale;flat;3;5;1;29.9;3570000;Московский; Гудованцева;41а;Авиастроительная;
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/303547548/;Казань;sale;flat;2;17;1;35.78;8730320;Советский;ПК1-2;ПК1-2;Горки;Мой Ритм ЖК
ART House;real_estate_agent;https://kazan.cian.ru/sale/flat/298728034/;Казань;sale;flat;6;9;1;31.1;4100000;Советский; Солидарности;21;Суконная слобода;
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/303122639/;Казань;sale;flat;2;9;1;67.3;23555000;Советский;;;Суконная слобода;Мифы
ЦН1;real_estate_agent;https://kazan.cian.ru/sale/flat/302250260/;Казань;sale;flat;5;9;2;52.9;6000000;Ново-Савиновский; Фатыха Амирхана;95;Северный Вокзал;
ПИК;developer;https://kazan.cian.ru/sale/flat/297337761/;Казань;sale;flat;19;26;1;33.0;7856339;Советский;;1;Площадь Тукая;Сиберово ЖК
ЭТАЖИ КАЗАНЬ;real_estate_agent;https://kazan.cian.ru/sale/flat/273695755/;Казань;sale;flat;3;6;1;34.6;5799000;Советский; Анаса Тазетдинова;4;Дубравная;
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/304842098/;Казань;sale;flat;4;5;2;72.59;25769450;Вахитовский;;;Кремлёвская;Дом на Исхаки ЖК
ЭТАЖИ КАЗАНЬ;real_estate_agent;https://kazan.cian.ru/sale/flat/267941799/;Казань;sale;flat;8;24;1;30.2;7400000;Советский; Родины;26В;Горки;Родина
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/304842102/;Казань;sale;flat;4;5;1;40.17;14461200;Вахитовский;;;Кремлёвская;Дом на Исхаки ЖК
TATNED;real_estate_agent;https://kazan.cian.ru/sale/flat/301121857/;Казань;sale;flat;2;10;2;52.7;8500000;Советский; Фикрята Табеева;1;Дубравная;Весна
КОМОССТРОЙ;developer;https://kazan.cian.ru/sale/flat/304371432/;Казань;sale;flat;7;18;2;47.3;7727000;Приволжский;;;Аметьево;Паркмаяк ЖК
ЦН1;real_estate_agent;https://kazan.cian.ru/sale/flat/301156072/;Казань;sale;flat;4;5;1;32.0;6600000;Советский; Красной Позиции;29;Суконная слобода;
КОМОССТРОЙ;developer;https://kazan.cian.ru/sale/flat/304383932/;Казань;sale;flat;10;18;1;36.4;6417000;Приволжский;;;Аметьево;Паркмаяк ЖК
Альтера;real_estate_agent;https://kazan.cian.ru/sale/flat/303120824/;Казань;sale;flat;2;5;1;32.3;4190000;Авиастроительный; Побежимова;41А;Авиастроительная;
КОМОССТРОЙ;developer;https://kazan.cian.ru/sale/flat/300939307/;Казань;sale;flat;3;14;2;48.5;9150000;Приволжский;Ферма-2 жилмассив;;Проспект Победы;Фермаполис
Альтера;real_estate_agent;https://kazan.cian.ru/sale/flat/299112651/;Казань;sale;flat;5;9;2;50.4;7199000;Ново-Савиновский; Мусина;74;Козья слобода;
Садовое кольцо;developer;https://kazan.cian.ru/sale/flat/304046773/;Казань;sale;flat;3;21;2;77.51;20673932;Ново-Савиновский;;;Козья слобода;Савин Фемили ЖК
ЭТАЖИ КАЗАНЬ;real_estate_agent;https://kazan.cian.ru/sale/flat/303719626/;Казань;sale;flat;1;9;1;22.5;3990000;Вахитовский;Портовая ;21;;
КОМОССТРОЙ;developer;https://kazan.cian.ru/sale/flat/300939091/;Казань;sale;flat;2;14;1;36.5;7233000;Приволжский;Ферма-2 жилмассив;;Проспект Победы;Фермаполис
Альтера;real_estate_agent;https://kazan.cian.ru/sale/flat/302924084/;Казань;sale;flat;2;10;2;52.1;6000000;Авиастроительный; Челюскина;35;Авиастроительная;
Садовое кольцо;developer;https://kazan.cian.ru/sale/flat/304046768/;Казань;sale;flat;15;18;1;40.37;14952725;Ново-Савиновский;;;Козья слобода;Савин Фемили ЖК
Риэлт Групп;real_estate_agent;https://kazan.cian.ru/sale/flat/299725962/;Казань;sale;flat;9;9;1;38.2;6150000;Ново-Савиновский; Маршала Чуйкова;15;Северный Вокзал;
СМУ-88;developer;https://kazan.cian.ru/sale/flat/302008554/;Казань;sale;flat;4;25;2;58.69;12114598;Советский;;к1;Горки;Яратам ЖК
Альтера;real_estate_agent;https://kazan.cian.ru/sale/flat/302168240/;Казань;sale;flat;23;25;2;60.0;29000000;Кировский;Шоссейная ;57;Козья слобода;Atlantis Deluxe
СМУ-88;developer;https://kazan.cian.ru/sale/flat/302352859/;Казань;sale;flat;2;10;2;44.47;13735323;Вахитовский; Дулата Али;;Площадь Тукая;Яналиф
Альтера;real_estate_agent;https://kazan.cian.ru/sale/flat/304691287/;Казань;sale;flat;1;5;2;42.4;5299000;Кировский; Батыршина;20;Яшьлек;
СМУ-88;developer;https://kazan.cian.ru/sale/flat/298833692/;Казань;sale;flat;11;25;1;40.62;9804045;Советский;;;Горки;Яратам ЖК
Альтера;real_estate_agent;https://kazan.cian.ru/sale/flat/303368067/;Казань;sale;flat;12;17;2;73.0;13000000;Ново-Савиновский; Фатыха Амирхана;12Е;Яшьлек;
СМУ-88;developer;https://kazan.cian.ru/sale/flat/298988645/;Казань;sale;flat;3;15;1;41.2;12933594;Вахитовский; Дулата Али;;Площадь Тукая;Яналиф
Основа;real_estate_agent;https://kazan.cian.ru/sale/flat/300596020/;Казань;sale;flat;12;19;2;50.2;11900000;Советский; Академика Губкина;12Б;Суконная слобода;
КОМОССТРОЙ;developer;https://kazan.cian.ru/sale/flat/300939675/;Казань;sale;flat;2;4;2;75.8;21224000;Вахитовский; Сары Садыковой;51А;Площадь Тукая;Комос на Тукая
Альтера;real_estate_agent;https://kazan.cian.ru/sale/flat/299733208/;Казань;sale;flat;10;16;1;40.0;6500000;Советский; Академика Сахарова;18;Горки;
КОМОССТРОЙ;developer;https://kazan.cian.ru/sale/flat/300939692/;Казань;sale;flat;2;4;1;51.7;15768500;Вахитовский; Сары Садыковой;51А;Площадь Тукая;Комос на Тукая
Альтера;real_estate_agent;https://kazan.cian.ru/sale/flat/299843313/;Казань;sale;flat;2;9;2;51.6;6990000;Приволжский;проспект Победы;18;Проспект Победы;
Авторы;developer;https://kazan.cian.ru/sale/flat/291146776/;Казань;sale;flat;6;7;2;63.39;22186500;Кировский; Большая;76;Кремлёвская;Лаунж-дома Авторы на Большой
ART House;real_estate_agent;https://kazan.cian.ru/sale/flat/302531348/;Казань;sale;flat;17;18;2;43.8;7300000;Советский; Архитектора Гайнутдинова;26;Горки;Green
Авторы;developer;https://kazan.cian.ru/sale/flat/291146723/;Казань;sale;flat;4;7;1;48.8;15420236;Кировский; Большая;76;Кремлёвская;Лаунж-дома Авторы на Большой
Альтера;real_estate_agent;https://kazan.cian.ru/sale/flat/296253799/;Казань;sale;flat;2;10;2;49.8;7000000;Советский; Хайдара Бигичева;11;Горки;
СМУ-88;developer;https://kazan.cian.ru/sale/flat/302782577/;Казань;sale;flat;12;18;2;61.75;14401656;Кировский;Ягодинская ;;Козья слобода;Крыловка парк
